lyr_table_name;column_name;alias_name;data_type;position;display_type;section;notvisible
aep_alimentation_externe;id;ID;text;1;SYNTHETIC;Identification;
aep_alimentation_externe;contrat;Contrat;text;;;;
aep_alimentation_externe;uuid;UUID;uuid;;;;
aep_alimentation_externe;source;Source de donnï¿½;text;;;;
aep_alimentation_externe;territoire;Code orga;text;;;;
aep_alimentation_externe;integ;Type intï¿½ï¿½gra;text;;;;
aep_alimentation_externe;dict;Dict;bool;;;;
aep_alimentation_externe;date_cre;Date crï¿½ï¿½a;timestamp;;;;
aep_alimentation_externe;date_maj;Date MAJ;timestamp;;;;
aep_alimentation_externe;id_ext;ID Externe;text;;;;
aep_alimentation_externe;commune;Commune;text;;;;
aep_alimentation_externe;insee_code;Insee Code;text;;;;
aep_alimentation_externe;rue;Rue;text;;;;
aep_alimentation_externe;domaine;Domanialitï¿;text;;;;
aep_alimentation_externe;date_gref;Date gï¿½ï¿½o-rï¿½ï¿½fï¿½;date;;;;
aep_alimentation_externe;type_gref;Type relï¿½ï;text;;;;
aep_alimentation_externe;prec_gref;Classe prï¿½ï¿½cision appareil de l;text;;;;
aep_alimentation_externe;date_abdn;Date abandon;date;;;;
aep_alimentation_externe;statut;Statut;text;;;;
aep_alimentation_externe;exploitant;Exploitant;text;;;;
aep_alimentation_externe;propriete;Maï¿½ï¿½tre ouv;text;;;;
aep_alimentation_externe;x;X;numeric;;;;
aep_alimentation_externe;y;Y;numeric;;;;
aep_alimentation_externe;z;Z relï¿½ï¿½ve (matrice s;numeric;;;;
aep_alimentation_externe;date_serv;Date mise en service;date;;;;
aep_alimentation_externe;prec_clas;Classe prï¿½ï¿½ci;text;;;;
aep_alimentation_externe;prec_xy;Classe prï¿½ï¿½cisio;text;;;;
aep_alimentation_externe;prec_z;Classe prï¿½ï¿½cisi;text;;;;
aep_alimentation_externe;lib_recol;Rï¿½ï¿½cole;text;;;;
aep_alimentation_externe;angle;Angle;float8;;;;
aep_alimentation_externe;id_emprise;ID Emprise;text;;;;
aep_alimentation_externe;code_contrat;Code Contrat;text;;;;
aep_alimentation_externe;type;Type;text;;;;
aep_alimentation_externe;fourniss;Fournisseur;text;;;;
aep_alimentation_externe;sensible;Ouvrage sensible;bool;;;;
aep_alimentation_externe;comment;Commentaires;text;;;;
aep_alimentation_externe;adresse;Adresse ;text;;;;
aep_alimentation_externe;old_id;ID SIG Source;int4;;;;
aep_alimentation_externe;geom;Geom;geometry;;;;
aep_annotation_ligne;id;ID;text;;;;
aep_annotation_ligne;pj;Piï¿½ï¿½ce Jo;text;;;;
aep_annotation_ligne;contrat;Contrat;text;;;;
aep_annotation_ligne;dossier;Dossier Joint;text;;;;
aep_annotation_ligne;territoire;Code orga;text;;;;
aep_annotation_ligne;type;Type;text;;;;
aep_annotation_ligne;annot;Annotation;text;;;;
aep_annotation_ligne;code_contrat;Code Contrat;text;;;;
aep_annotation_ligne;longueur;Longueur;numeric;;;;
aep_annotation_ligne;geom;Geom;geometry;;;;
aep_annotation_point;id;ID;text;;;;
aep_annotation_point;pj;Piï¿½ï¿½ce Jo;text;;;;
aep_annotation_point;contrat;Contrat;text;;;;
aep_annotation_point;dossier;Dossier Joint;text;;;;
aep_annotation_point;territoire;Code orga;text;;;;
aep_annotation_point;type;Type;text;;;;
aep_annotation_point;annot;Annotation;text;;;;
aep_annotation_point;code_contrat;Code Contrat;text;;;;
aep_annotation_point;geom;Geom;geometry;;;;
aep_annotation_polygon;id;ID;text;;;;
aep_annotation_polygon;pj;Piï¿½ï¿½ce Jo;text;;;;
aep_annotation_polygon;contrat;Contrat;text;;;;
aep_annotation_polygon;dossier;Dossier Joint;text;;;;
aep_annotation_polygon;territoire;Code orga;text;;;;
aep_annotation_polygon;type;Type;text;;;;
aep_annotation_polygon;annot;Annotation;text;;;;
aep_annotation_polygon;code_contrat;Code Contrat;text;;;;
aep_annotation_polygon;surface;Surface;numeric;;;;
