affichage,champs,colonnes
SYNTHETIQUE,AEP - Canalisation abandonnee,aep_canalisation_abandonnee
SYNTHETIQUE,AEP - Cables abandonnes,aep_cables_abandonnes
SYNTHETIQUE,ASS - Canalisation abandonnee,ass_canalisation_abandonnee
SYNTHETIQUE,ASS - Cable abandonne,ass_cable_abandonne
SYNTHETIQUE,Date abandon,date_abdn
SYNTHETIQUE,"Activité (AEP,  ASS…)",activite
SYNTHETIQUE,Adresse,adresse
SYNTHETIQUE,Code officiel,admin_code
SYNTHETIQUE,Angle,angle
SYNTHETIQUE,Annotation,annot
SYNTHETIQUE,Id Arc,id_arc
SYNTHETIQUE,Surface,surface
SYNTHETIQUE,Date récolement,date_recol
SYNTHETIQUE,Récolement,lib_recol
SYNTHETIQUE,Dossier Joint,dossier
SYNTHETIQUE,Pièce Jointe,pj
SYNTHETIQUE,Cote radier,radier
SYNTHETIQUE,Marque,marque
SYNTHETIQUE,Code CANOPE,cde_canope
SYNTHETIQUE,Capacité,capacite
SYNTHETIQUE,Nom MAJ,lib_maj
SYNTHETIQUE,Sous chambre,chambre
SYNTHETIQUE,Table enfant,enfant
SYNTHETIQUE,Choc,choc
SYNTHETIQUE,Commune,config_commune
SYNTHETIQUE,Commune,commune
SYNTHETIQUE,Classification,classe
SYNTHETIQUE,Sens fermeture,fermeture
SYNTHETIQUE,Code GMAO,cde_gmao
SYNTHETIQUE,Code,code
SYNTHETIQUE,Zone collecte,zne_coll
SYNTHETIQUE,Couleur,couleur
SYNTHETIQUE,Code couleur,rvb
SYNTHETIQUE,Matériau regard,reg_mat
SYNTHETIQUE,Commentaires,comment
SYNTHETIQUE,Conforme,conforme
SYNTHETIQUE,Nbre Boite de Brt,nb_brt
SYNTHETIQUE,Entreprise,entreprise
SYNTHETIQUE,Date de travaux,date_cons
SYNTHETIQUE,Contrat,config_contrat
SYNTHETIQUE,Contrat,contrat
SYNTHETIQUE,Date création,date_cre
SYNTHETIQUE,Date journalisation,heure_cre
SYNTHETIQUE,Criticité Hydraulique,crit_hydr
SYNTHETIQUE,Source de donnée,source
SYNTHETIQUE,Décantation,decant
SYNTHETIQUE,ID déclaration,declar_id
SYNTHETIQUE,Nb PDD,nb_pdd
SYNTHETIQUE,Données QGIS,qgis_data
SYNTHETIQUE,Profondeur,prof
SYNTHETIQUE,Diamètre,diametre
SYNTHETIQUE,Dict,dict
SYNTHETIQUE,Dictionaire,dictionaire
SYNTHETIQUE,Longueur Eau Ref / Distrib KM,km_refdist
SYNTHETIQUE,Longueur Refoulement /  Supressé KM,km_ref
SYNTHETIQUE,Nbre PR,nb_pr
SYNTHETIQUE,Zone de distribution,distr_zone
SYNTHETIQUE,Secteur,secteur
SYNTHETIQUE,Domanialité,domaine
SYNTHETIQUE,Cote aval,cote_aval
SYNTHETIQUE,Pression aval,p_aval
SYNTHETIQUE,Entreprise récolement,recol_soc
SYNTHETIQUE,Longueur Eau Potable KM,km_eaupot
SYNTHETIQUE,AEP - Annotation Ligne,aep_annotation_ligne
SYNTHETIQUE,AEP - Annotation Point,aep_annotation_point
SYNTHETIQUE,AEP - Annotation Polygon,aep_annotation_polygon
SYNTHETIQUE,AEP - Unité de distribution,udi
SYNTHETIQUE,AEP - Secteur,aep_secteur
SYNTHETIQUE,AEP - Table Journal (ligne),aep_table_journal_ligne
SYNTHETIQUE,AEP - Table Journal (point),aep_table_journal_point
SYNTHETIQUE,AEP - Etage de pression,aep_etage_de_pression
SYNTHETIQUE,AEP - Relève (ligne),aep_ligne_releve
SYNTHETIQUE,AEP - Relève (point),aep_point_releve
SYNTHETIQUE,Servitude,servitude
SYNTHETIQUE,Longueur Autre Ecoult KM,km_motr_nd
SYNTHETIQUE,Longueur Autre KM,km_type_nd
SYNTHETIQUE,Date fin,date_fin
SYNTHETIQUE,Noeud aval,nd_aval
SYNTHETIQUE,Nbre Equipement,nb_eqpt
SYNTHETIQUE,Domaine ESRI,dmn_esri
SYNTHETIQUE,ID Externe,id_ext
SYNTHETIQUE,ID Emprise,id_emprise
SYNTHETIQUE,Nbre Ouvrage,nb_ouvrage
SYNTHETIQUE,Chute,chute
SYNTHETIQUE,Id Objet,id_entite
SYNTHETIQUE,Code SDIS,cde_sdis
SYNTHETIQUE,Débit,debit
SYNTHETIQUE,Format,format
SYNTHETIQUE,Nom complet,lib_long
SYNTHETIQUE,Fonction,fonction
SYNTHETIQUE,Objet recalé,georef
SYNTHETIQUE,Cote matrice supérieure,cote_msup
SYNTHETIQUE,Entreprise géo-réf,entr_gref
SYNTHETIQUE,Date géo-référencement,date_gref
SYNTHETIQUE,Niveau sol GPS,sol_gref
SYNTHETIQUE,Classe précision appareil de levé,prec_gref
SYNTHETIQUE,Statut relève,etat_gref
SYNTHETIQUE,Type relève,type_gref
SYNTHETIQUE,Longueur Gravitaire KM,km_grav
SYNTHETIQUE,Niveau sol,cote_sol
SYNTHETIQUE,HDOP,hdop
SYNTHETIQUE,Hauteur,hauteur
SYNTHETIQUE,Nbre Hydrant,nb_inc
SYNTHETIQUE,ID,id
SYNTHETIQUE,Diamètre intérieur,diam_int
SYNTHETIQUE,Code INSEE,cde_insee
SYNTHETIQUE,Nbre Avaloir,nb_avaloir
SYNTHETIQUE,Type intégration,integ
SYNTHETIQUE,Nbre Raccord,nb_raccord
SYNTHETIQUE,Etiquette,label
SYNTHETIQUE,Date MAJ,date_maj
SYNTHETIQUE,Longueur Branche Boite de Brt KM,km_br_ass
SYNTHETIQUE,Nbre Branche Boite de Brt,nb_boite
SYNTHETIQUE,Longueur Branche PDD KM,km_br_aep
SYNTHETIQUE,Nb Branche PDD,nb_br_aep
SYNTHETIQUE,Longueur Branche Hydrant KM,km_br_inc
SYNTHETIQUE,Nbre Branche Hydrant,nb_br_inc
SYNTHETIQUE,Longueur Branche Avaloir KM,km_brt_ava
SYNTHETIQUE,Nbre Branche Avaloir,nb_ava
SYNTHETIQUE,Id branche,id_banche
SYNTHETIQUE,Id noeud de branche,id_nd_br
SYNTHETIQUE,Type de branche,type_br
SYNTHETIQUE,Longueur Branche Eqpt Public KM,km_br_pub
SYNTHETIQUE,Nb Branche Eqpt Public,nb_br_pub
SYNTHETIQUE,Longueur Branche Purge KM,km_br_vid
SYNTHETIQUE,Nbre Branche Purge,nb_br_vid
SYNTHETIQUE,Longueur,longueur
SYNTHETIQUE,Emplacement,emplacemnt
SYNTHETIQUE,Logo,logo
SYNTHETIQUE,Nbre Regard,nb_reg
SYNTHETIQUE,Matériau,materiau
SYNTHETIQUE,Marque Matériau,marque_mat
SYNTHETIQUE,Incertitude max X,x_error
SYNTHETIQUE,Incertitude max Y,y_error
SYNTHETIQUE,Incertitude max Z,z_error
SYNTHETIQUE,Marque appareil mesure,relev_mar
SYNTHETIQUE,Modèle appareil mesure,relev_mod
SYNTHETIQUE,Numéro appareil mesure,relev_id
SYNTHETIQUE,Mode,mode
SYNTHETIQUE,Modèle,modele
SYNTHETIQUE,Libellé,libelle
SYNTHETIQUE,Pression nominale,pn
SYNTHETIQUE,ID objet,id_objet
SYNTHETIQUE,Type objet,type_obj
SYNTHETIQUE,ID SIG Source,old_id
SYNTHETIQUE,Exploitation Veolia,config_exploitation_veolia
SYNTHETIQUE,Code orga,territoire
SYNTHETIQUE,Type Opération,type_terr
SYNTHETIQUE,Exploitant,exploitant
SYNTHETIQUE,Diamètre externe,diam_ext
SYNTHETIQUE,Nbre Exutoire,nb_exut
SYNTHETIQUE,Couleur extérieure,contour
SYNTHETIQUE,Cote trop plein,cote_tp
SYNTHETIQUE,Maître ouvrage,propriete
SYNTHETIQUE,Type tampon,type_tampon
SYNTHETIQUE,Contrat parent,cont_parnt
SYNTHETIQUE,PDOP,pdop
SYNTHETIQUE,Forme,forme
